Curriculum_ID,Institution_Type,Course_Name,Module_Name,Module_Description,Learning_Outcome,Skill_Name,Skill_Category,Skill_Level,Theory_Hours,Practical_Hours,Assessment_Method
CUR-001,Technical Training Center,Python Programming,JavaScript Module 1,Synthetic module covering concepts and practical applications of JavaScript.,Students will demonstrate competency in JavaScript through practical tasks.,JavaScript,Programming,Beginner,12,30,Written Exam
CUR-002,Technical Training Center,DevOps,Python Module 2,Synthetic module covering concepts and practical applications of Python.,Students will demonstrate competency in Python through practical tasks.,Python,Programming,Advanced,12,30,Viva
CUR-003,Technical Training Center,Web Development,Python Module 3,Synthetic module covering concepts and practical applications of Python.,Students will demonstrate competency in Python through practical tasks.,Python,Programming,Intermediate,10,30,Viva
CUR-004,TVET Institute,IT Support,Problem Solving Module 4,Synthetic module covering concepts and practical applications of Problem Solving.,Students will demonstrate competency in Problem Solving through practical tasks.,Problem Solving,Soft Skill,Advanced,15,25,Viva
CUR-005,Polytechnic Training Unit,Software Testing,Communication Module 5,Synthetic module covering concepts and practical applications of Communication.,Students will demonstrate competency in Communication through practical tasks.,Communication,Soft Skill,Beginner,12,15,Viva
CUR-006,Polytechnic Training Unit,IT Support,JavaScript Module 6,Synthetic module covering concepts and practical applications of JavaScript.,Students will demonstrate competency in JavaScript through practical tasks.,JavaScript,Programming,Advanced,10,25,Written Exam
CUR-007,Polytechnic Training Unit,Full Stack Development,Docker Module 7,Synthetic module covering concepts and practical applications of Docker.,Students will demonstrate competency in Docker through practical tasks.,Docker,DevOps,Beginner,12,30,Project
CUR-008,Technical Training Center,Python Programming,Git Module 8,Synthetic module covering concepts and practical applications of Git.,Students will demonstrate competency in Git through practical tasks.,Git,Version Control,Intermediate,10,30,Viva
CUR-009,TTC,Networking,Docker Module 9,Synthetic module covering concepts and practical applications of Docker.,Students will demonstrate competency in Docker through practical tasks.,Docker,DevOps,Beginner,12,30,Project
CUR-010,TVET Institute,Web Development,Linux Module 10,Synthetic module covering concepts and practical applications of Linux.,Students will demonstrate competency in Linux through practical tasks.,Linux,Operating System,Advanced,12,30,Written Exam
CUR-011,TTC,Python Programming,Problem Solving Module 11,Synthetic module covering concepts and practical applications of Problem Solving.,Students will demonstrate competency in Problem Solving through practical tasks.,Problem Solving,Soft Skill,Intermediate,15,15,Written Exam
CUR-012,Technical Training Center,IT Support,Communication Module 12,Synthetic module covering concepts and practical applications of Communication.,Students will demonstrate competency in Communication through practical tasks.,Communication,Soft Skill,Intermediate,20,20,Viva
