Job_ID,Job_Title,Job_Level,Company_Type,Job_Category,Required_Skill,Skill_Category,Experience,Education,Job_Description,Preferred_Skill,Employment_Type
JOB-001,Full Stack Developer,Entry,IT Services Company,Database,Git,Version Control,1-2 Years,Equivalent Qualification,"The candidate will work as a Full Stack Developer, develop solutions using Git, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",AWS,Full-Time
JOB-002,Junior Software Engineer,Entry,Outsourcing Firm,Networking,Docker,DevOps,0-1 Years,Diploma in CSE,"The candidate will work as a Junior Software Engineer, develop solutions using Docker, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Scrum,Internship
JOB-003,QA Engineer,Mid,Outsourcing Firm,Networking,Docker,DevOps,1-2 Years,Diploma in CSE,"The candidate will work as a QA Engineer, develop solutions using Docker, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Git,Full-Time
JOB-004,Cloud Engineer,Mid,Outsourcing Firm,Cloud,Cybersecurity,Cybersecurity,1-2 Years,BSc in ICT,"The candidate will work as a Cloud Engineer, develop solutions using Cybersecurity, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Leadership,Full-Time
JOB-005,IT Support Engineer,Entry,IT Services Company,QA,Linux,Operating System,0-1 Years,Equivalent Qualification,"The candidate will work as a IT Support Engineer, develop solutions using Linux, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Leadership,Contract
JOB-006,DevOps Engineer,Entry,IT Services Company,Networking,Selenium,Testing,0-1 Years,BSc in ICT,"The candidate will work as a DevOps Engineer, develop solutions using Selenium, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",AWS,Full-Time
JOB-007,Backend Developer,Junior,Outsourcing Firm,Development,AWS,Cloud,0-1 Years,Equivalent Qualification,"The candidate will work as a Backend Developer, develop solutions using AWS, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",CI/CD,Full-Time
JOB-008,Full Stack Developer,Junior,Software Company,Support,Teamwork,Soft Skill,1-2 Years,Diploma in CSE,"The candidate will work as a Full Stack Developer, develop solutions using Teamwork, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",AWS,Internship
JOB-009,Software Engineer,Junior,IT Services Company,Cybersecurity,MySQL,Database,1-2 Years,Diploma in CSE,"The candidate will work as a Software Engineer, develop solutions using MySQL, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",AWS,Internship
JOB-010,Backend Developer,Junior,IT Services Company,Support,Java,Programming,2-3 Years,Diploma in CSE,"The candidate will work as a Backend Developer, develop solutions using Java, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Kubernetes,Internship
JOB-011,Cloud Engineer,Junior,Enterprise,QA,Java,Programming,2-3 Years,BSc in CSE,"The candidate will work as a Cloud Engineer, develop solutions using Java, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Agile,Full-Time
JOB-012,QA Engineer,Junior,Enterprise,Cloud,Cybersecurity,Cybersecurity,0-1 Years,BSc in ICT,"The candidate will work as a QA Engineer, develop solutions using Cybersecurity, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Agile,Internship
JOB-013,Frontend Developer,Mid,Enterprise,Development,Selenium,Testing,0-1 Years,BSc in ICT,"The candidate will work as a Frontend Developer, develop solutions using Selenium, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Communication,Contract
JOB-014,Software Engineer,Mid,Enterprise,QA,Node.js,Web Development,1-2 Years,Equivalent Qualification,"The candidate will work as a Software Engineer, develop solutions using Node.js, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Git,Contract
JOB-015,Full Stack Developer,Junior,Software Company,DevOps,Cybersecurity,Cybersecurity,0-1 Years,Equivalent Qualification,"The candidate will work as a Full Stack Developer, develop solutions using Cybersecurity, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Agile,Contract
JOB-016,Software Engineer,Mid,IT Services Company,Support,Networking,Networking,0-1 Years,Diploma in CSE,"The candidate will work as a Software Engineer, develop solutions using Networking, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Azure,Internship
JOB-017,IT Support Engineer,Mid,Outsourcing Firm,Cloud,Docker,DevOps,1-2 Years,BSc in ICT,"The candidate will work as a IT Support Engineer, develop solutions using Docker, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Scrum,Contract
JOB-018,QA Engineer,Junior,Software Company,Cloud,JavaScript,Programming,0-1 Years,Diploma in CSE,"The candidate will work as a QA Engineer, develop solutions using JavaScript, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Git,Contract
JOB-019,Junior Software Engineer,Mid,Outsourcing Firm,Cloud,JavaScript,Programming,1-2 Years,Diploma in CSE,"The candidate will work as a Junior Software Engineer, develop solutions using JavaScript, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",CI/CD,Internship
JOB-020,IT Support Engineer,Junior,Startup,QA,Git,Version Control,0-1 Years,BSc in CSE,"The candidate will work as a IT Support Engineer, develop solutions using Git, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Leadership,Contract
JOB-021,Cloud Engineer,Junior,Startup,Networking,React,Web Development,0-1 Years,Equivalent Qualification,"The candidate will work as a Cloud Engineer, develop solutions using React, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Docker,Full-Time
JOB-022,Software Engineer,Entry,Outsourcing Firm,Networking,Teamwork,Soft Skill,2-3 Years,Diploma in CSE,"The candidate will work as a Software Engineer, develop solutions using Teamwork, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Leadership,Full-Time
JOB-023,Backend Developer,Junior,Outsourcing Firm,Support,Jenkins,DevOps,1-2 Years,Diploma in CSE,"The candidate will work as a Backend Developer, develop solutions using Jenkins, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Leadership,Full-Time
JOB-024,Cybersecurity Analyst,Junior,Enterprise,Networking,Selenium,Testing,2-3 Years,Equivalent Qualification,"The candidate will work as a Cybersecurity Analyst, develop solutions using Selenium, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Leadership,Internship
JOB-025,Software Engineer,Junior,Outsourcing Firm,Cloud,SQL,Database,2-3 Years,BSc in CSE,"The candidate will work as a Software Engineer, develop solutions using SQL, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Scrum,Contract
JOB-026,Frontend Developer,Entry,Startup,Database,React,Web Development,0-1 Years,Diploma in CSE,"The candidate will work as a Frontend Developer, develop solutions using React, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Git,Full-Time
JOB-027,Cybersecurity Analyst,Entry,Software Company,Cloud,Cybersecurity,Cybersecurity,1-2 Years,Equivalent Qualification,"The candidate will work as a Cybersecurity Analyst, develop solutions using Cybersecurity, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Agile,Full-Time
JOB-028,QA Engineer,Entry,Software Company,DevOps,Networking,Networking,2-3 Years,BSc in ICT,"The candidate will work as a QA Engineer, develop solutions using Networking, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Agile,Contract
JOB-029,Frontend Developer,Entry,Outsourcing Firm,Database,Python,Programming,2-3 Years,Diploma in CSE,"The candidate will work as a Frontend Developer, develop solutions using Python, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Kubernetes,Contract
JOB-030,DevOps Engineer,Mid,IT Services Company,QA,Java,Programming,2-3 Years,BSc in ICT,"The candidate will work as a DevOps Engineer, develop solutions using Java, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Scrum,Full-Time
JOB-031,QA Engineer,Mid,Software Company,Database,React,Web Development,1-2 Years,Equivalent Qualification,"The candidate will work as a QA Engineer, develop solutions using React, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Leadership,Contract
JOB-032,Database Engineer,Junior,Outsourcing Firm,Support,Cybersecurity,Cybersecurity,0-1 Years,BSc in CSE,"The candidate will work as a Database Engineer, develop solutions using Cybersecurity, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Azure,Full-Time
JOB-033,Frontend Developer,Mid,Software Company,Cloud,Python,Programming,2-3 Years,Diploma in CSE,"The candidate will work as a Frontend Developer, develop solutions using Python, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",AWS,Internship
